"REGISTRATION","VALID_SINCE","VALID_UNTIL","AC_OPERATOR","AC_OWNER","AC_SUBTYPE","AC_LOGICAL_NO","AC_STATE","DRY_OPERATING_WGT","MAX_TAKEOFF_WGT","CARGO_CAPACITY","FUEL_CAPACITY","AVG_FUEL_CONSUMP","AC_INDEX","CREWSIZE_COCKPIT","CREWSIZE_CABIN","STD_VERSION","AP_RESTRICTION","AC_OWNER_NAME","AC_SUBTYPE_NAME","AC_CATEGORY","REMARK","FUEL_MEASURE_UNIT","AC_CALLSIGN","RADIO","NOISE","PHONE","SPECIAL_EQUIPMENT","ACARS","ALT_REG","RECORD_ID","LAST_UPDATE","LAST_UPDATE_USER_ID","STD_VERSION_ALT_1","STD_VERSION_ALT_2","STD_VERSION_ALT_3","STD_VERSION_ALT_4","ILS_EQUIPMENT","AUTOLAND","HOMEBASE"
"EIHEA",19-FEB-18,31-JAN-20,"LD ","LD","33F",1,"R",0,0,0,0,0,290,0,0,"VVSTN","N","LD                            ","33F                           ","J","A330-300P2F. BKK/PEN/PVG/SGN/SIN ONLY                                           ","kg ","","",,"","","","",374173,02-MAR-22,"netline","","","","","I","Y",""
"BLBJ",01-APR-15,31-DEC-17,"CX ","CX","33K",14,"R",124887,233000,0,0,0,70,0,0,"STN","N","CATHAY PACIFIC                ","33K                           ","J","39J/21W/191Y = 251 (ASP LONG TERM PARKING FROM 16NOV20)                         ","kg ","","",,"","","S","",93843,02-MAR-22,"netline","","","","","I","Y",""
"BLRM",01-JAN-16,31-DEC-16,"CX ","CX","35G",13,"R",0,268000,0,0,0,10,0,0,"STN","N","CX                            ","35G                           ","J","38J/28W/214Y = 280                                                              ","kg ","","",,"","","S","",262576,02-MAR-22,"netline","","","","","I","Y",""
"EIHEB",24-MAR-18,29-MAR-20,"LD ","LD","33F",2,"R",0,0,0,0,0,290,0,0,"VVSTN","N","LD                            ","33F                           ","J","A330-300P2F. BKK/PEN/PVG/SGN/SIN ONLY                                           ","kg ","","",,"","","","",382607,02-MAR-22,"netline","","","","","I","Y",""
"CX35J",25-SEP-14,31-DEC-15,"CX ","CX","35J",0,"O",0,0,0,0,0,15,0,0,"STN","N","CX                            ","35J                           ","J","-                                                                               ","kg ","","",,"","","","",71278,02-MAR-22,"netline","","","","","I","Y",""
"CX33P",01-JUL-15,31-DEC-15,"CX ","CX","33P",0,"O",0,0,0,0,0,55,0,0,"STN","N","CX                            ","33P                           ","J","-                                                                               ","kg ","","",,"","","","",71316,02-MAR-22,"netline","","","","","I","Y",""
"BLBH",01-JAN-14,29-MAR-14,"CX ","CX","330",14,"R",123178,233000,0,0,0,50,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","42J/265Y = 307                                                                  ","kg ","","",,"","","S","",145260,02-MAR-22,"netline","","","","","I","Y",""
"BLRQ",01-MAY-17,31-DEC-17,"CX ","CX","35G",17,"R",0,268000,0,0,0,10,0,0,"STN","N","CX                            ","35G                           ","J","38J/28W/214Y = 280                                                              ","kg ","","",,"","","S","",289811,02-MAR-22,"netline","","","","","I","Y",""
"BLBH",07-NOV-15,31-DEC-15,"CX ","CX","33P",9,"R",122018,217000,0,0,0,55,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","24J/293Y = 317                                                                  ","kg ","","",,"","","S","",145262,02-MAR-22,"netline","","","","","I","Y",""
"BHLF",17-NOV-15,31-DEC-15,"CX ","CX","33P",10,"R",122018,217000,0,0,0,55,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","24J/293Y = 317 (CQM LONG TERM PARKING FROM 24SEP20)                             ","kg ","","",,"","","S","",147050,02-MAR-22,"netline","","","","","I","Y",""
